Titres opération et projet lauréat,Thématique
Cultiver en ville Cultiver en ville / Subvention centre Georges Pompidou,Environnement
+ de nature en ville + de nature en ville / Installation d’abris pour chats errants (L’école du chat),Environnement
+ de nature en ville C- SUIV 003688 - + de nature en ville / 04-Mares et espaces de biodiversité/ Jardin André Ulmann,Environnement
#SousLesPavésDesFleurs Mares et espaces de biodiversité dans les quartiers populaires / Square des Grès,Environnement
#RefabriquonsÀParis Etudes et Chantiers IDF,Attractivité et emploi
Un café solidaire dans le quartier de la tour Saint-Jacques Un café de rue à vélo pour des rencontres solidaires,Solidarités
Suite de la restauration de la fontaine Louvois Suite de la restauration de la somptueuse fontaine Louvois,Culture et patrimoine
Végétalisation de la rue de l'Arsenal Coulée verte et potager urbain solidaire rue de l'Arsenal / 01 - potagers urbains sur les toits,Cadre de vie
Des tracés et des porteurs dans les cours de la maternelle Des tracés et des porteurs dans les cours de la maternelle,Education et jeunesse
Du mobilier urbain végétalisé devant les écoles et les crèches Une promenade végétalisée dans le 9ème / végétalisation de la rue Hippolyte Lebas,Environnement
Aménagement de l'anneau cyclable autour de Longchamp Aménagement de la piste cycliste autour de Longchamps,Prévention et sécurité
Une salle d'arts plastiques pour l'école Saint-Merri Renard Une salle d'arts plastiques pour l'école Saint-Merri Renard,Education et jeunesse
Végétaliser l'espace public Végétaliser l'espace public / 01 - Des arbres en bac pour la rue de Javel et jardinières aux abords du collège Debussy,Environnement
Traverser en toute sécurité dans les rues du 11e Traverser en toute sécurité dans les rues du 11ème,Prévention et sécurité
Modernisation des Centres Paris Anim’ du 19e Réaménager le centre solidarité Angèle Mercier,Education et jeunesse
#VilleRefuge Restaurant solidaire La Table du Recho aux Cinq Toits,Solidarités
#TousRécup Essaimage des repair café à Paris (5/10),Solidarités
Rénovons l’équipement sportif du Centre Bertrand Dauvin Créer un lieu de vie associative,Sport
#VilleRefuge Aménagement des locaux de la Maraude Migrants,Solidarités
#VilleRefuge Halte Humanitaire Porte de la Chapelle,Solidarités
"Insonorisation et embellissement des réfectoires des écoles du 3ème Insonorisation, embellissement réfectoires écoles EP Vaucanson",Education et jeunesse
Des tableaux interactifs pour des écoles de l'arrondissement Tableaux interactifs pour l'école maternelle,Education et jeunesse
Activités sportives urbaines dans le 14e Rénovation du TEP Jules Noël,Sport
Une voirie pour toutes les mobilités 26 Netter,Mobilités
+ de commerces dans les quartiers populaires DIX HUITIEME CYCLE,Attractivité et emploi
+ de commerces dans les quartiers populaires BOUCHERIE,Attractivité et emploi
+ de commerces dans les quartiers populaires AU BOWL GOURMAND,Attractivité et emploi
Arts visuels et numériques pour tous ! Espoir 18,Solidarités
Des quartiers populaires à énergie positive Action 2 : installation de panneaux photovoltaïques - Tzara,Environnement
Investir pour la longévité et l'accessibilité de nos églises Restauration de la chapelle de la Vierge de Sainte-Clotilde,Culture et patrimoine
Des établissements de santé plus proches des habitant·e·s Maison de santé Place des Droits de l'Enfant,Santé
Renforcer les moyens d'action en faveur de la propreté Achat de corbeilles pour les berges de Seine et actions de sensibilisation aux enjeux environnementaux liés à la propreté,Propreté
Construire des cours Oasis pour nos écoles Embellissons et préparons nos écoles- GS Picpus,Education et jeunesse
Entretenir et sécuriser les rues et trottoirs du 17ème Ajouter trois ralentisseurs dans la rue de Saussure,Cadre de vie
Un quartier Belleville-Fontaine au Roi solidaire et attractif Vélo cargo et remorque mutualisés pour la fontaine au roi,Solidarités
Végétaliser les murs du 10e 02 - mur végétalisé sur la façade de l'école maternelle  Pierre Bullet (mur rue du Château d'Eau),Environnement
Végétaliser les murs du 10e 05 - mur végétalisé du marché St Quentin  (mur mitoyen du 12 rue de Chabrol),Environnement
Embellir les espaces verts du 11e 03 - Rénovation du square Jules Verne,Environnement
Embellir et rénover les écoles du 17ème EE Capitaine Lagache - Rénovation de la salle de restauration,Education et jeunesse
Bien grandir dans le 11e Des outils numériques dans les écoles primaires du 11 / EE St Bernard,Education et jeunesse
Restaurer deux chapelles de l'église Saint-Sulpice Restauration de la chapelle de la Vierge de l’église Saint Sulpice,Culture et patrimoine
Rapprocher la culture des habitant·e·s Les Hôtels à Moineaux,Culture et patrimoine
Renforcer les actions et multiplier les lieux de solidarité Nouvelle enseigne Le Deuxième Café: Café associatif et culturel,Solidarités
Renforcer les actions et multiplier les lieux de solidarité Installation café associatif La Collective Parisienne,Solidarités
Aménager et équiper les écoles du 11e De belles cours d'écoles pour les enfants EM Beslay,Education et jeunesse
"Des îlots de fraîcheur pour faire face aux canicules Paris, source de fraicheur - 01 - Fontaine n°1",Environnement
Aménager des espaces publics verdoyants pour le 20e Végétaliser la place Melina Mercouri,Environnement
Favoriser la pratique sportive dans le 15e Rénovation du centre sportif Croix-Nivert,Sport
Embellir et rénover les écoles du 5e Des toilettes pour l'EE Brossolette,Education et jeunesse
Aménager et équiper les écoles du 11e De belles cours d'écoles pour les enfants EE Pihet,Education et jeunesse
Apaiser la circulation automobile dans le 16e Sécurisation Quai Louis Blériot,Prévention et sécurité
Favoriser la vie culturelle du quartier Belleville Saint-Maur Aménagement de l'annexe du conservatoire Piver,Culture et patrimoine
Faisons du 12e un arrondissement toujours plus culturel ! Parcours patrimonial / Parc de Bercy,Culture et patrimoine
Favoriser le lien social et les pratiques artistiques et sportives Acquisition de matériel pour des ateliers de pratique artistique,Solidarités
Créons une oasis associative et citoyenne à Porte de Vanves ! Achat de deux fourgonnettes pour distribution de repas et espace de rencontre,Solidarités
Végétaliser et améliorer les lieux publics dans les quartiers Végétalisation du collège Marx-Dormoy,Cadre de vie
Aménager et équiper les résidences sociales Des équipements numériques pour Adoma Annam,Solidarités
"Sublimer nos squares, parcs et jardins Créer un observatoire du bois en haut de la butte à canon",Environnement
Agrandir le jardin du Chalet et favoriser la biodiversité Création d’une mare écologique et installation de dispositifs favorisant la biodiversité,Environnement
Un coup de vert dans le 15e Un potager connecté sur le toit de l'école d’ingénieurs ECE Paris,Environnement
Des cours d'écoles et de collèges végétalisées et Oasis EE Claude Vellefaux,Environnement
#TousRécup Communauté Emmaüs de Paris,Solidarités
"#TousRécup Yes We Camp, Joyons",Solidarités
Signaliser au sol la priorité piétons sur la place de la République Marquage au sol priorité piétons place République,Prévention et sécurité
"Diminuer les déchets, augmenter la récup’ Installer des corbeilles de rue pour recyclage",Propreté
Pour plus d'agriculture urbaine dans le 20e 04-Houblonnière du Jardin des petites rigoles,Environnement
Sécurisation et rénovation des rues du 17e 01-Installation de ralentisseurs voitures et motos pour sécuriser la rue Philibert Delorme,Cadre de vie
Des cours d'école plus ludiques et vertes un jardin partagé/ cour oasis à l'EE Fessart,Education et jeunesse
Pour des écoles plus vertes ! Des écoles OASIS/ Collège Robert Doisneau,Environnement
Aménager nos quartiers pour favoriser le vivre ensemble 01-Poursuite de la végétalisation du 18ème pour mieux vivre ensemble,Cadre de vie
Réduire la vitesse des véhicules et sécuriser les passages piétons 01-Protection du passage piétons rue Vernet croisement Bassano,Prévention et sécurité
Des pieds d'arbres et des trottoirs embellis 04-Rénovation des trottoirs rue Guy Môquet,Culture et patrimoine
Faire rayonner les écoles des Quartiers Populaires Développement durable à l'EP Poissonniers,Education et jeunesse
"Des espaces verts conviviaux, inclusifs et intergénérationnels 7702-Rénover l’aire de jeux du square Gustave Mesureur",Environnement
Des espaces à jouer pour nos enfants et des jardins plus agréables à vivre 03-Réhabilitation du trottoir rue Cambrai,Cadre de vie
#RefabriquonsÀParis FADS - Achat de machines pour l’atelier couture upcycling et la blanchisserie du Centre Espoir,Attractivité et emploi
Équiper des crèches dans le 20e Crèche municipale des Rigoles,Education et jeunesse
Donner plus de moyens aux associations qui accompagnent les plus fragiles Accompagner les personnes à la rue en difficulté avec les addictions,Solidarités
Améliorons les équipements des quartiers populaires du 12e Une camionnette pour la solidarité alimentaire dans le 12ème,Cadre de vie
La balle est dans votre camp pour moderniser le Gymnase Didot ! Sièges individuels en tribune et amélioration du Gymnase Didot,Sport
#TousRécup Boite n°2 - Des boîtes à livres pour le 10e arr.,Solidarités
Vers plus de vert dans le 17ème ! Création espace canin / boulevard des Batignolles,Environnement
Réaménager et équiper les espaces verts et jardins du 7e Aire de jeux jardin Catherine Labouré,Cadre de vie
Améliorer le confort de vie des séniors du 7ème Améliorer le confort de vie des séniors du 7ème,Cadre de vie
Rendre accessible à tous l'église Saint Etienne du Mont Rendons accessible à tous l'église Saint Etienne du Mont,Culture et patrimoine
Développer les équipements de plein air dans les parcs du 15e 01-Améliorer du terrain de sport du jardin Dalpayrat,Cadre de vie
Ouvrir le stade Didot sur le quartier Création d'un lieu de convivialité,Sport
Toujours plus de sport dans le 13e Un lieu de vie pour le Golf,Sport
Promouvoir l’économie circulaire et la réduction des déchets Zéro mégot rue Amelot,Environnement
Jouer au frais dans les cours de récré Plus de cours oasis et rafraichies / GS Simone Veil: Alesia,Education et jeunesse
Un 13e encore plus végétalisé et accueillant 02 - Jardinage et sensibilisation à l'agri urbaine au Gymnase Choisy,Environnement
Développer des cours Oasis dans les quartiers populaires Végétaliser les cours de récréation des écoles/ EE 16 rue Julien Lacroix,Education et jeunesse
Rénover les écoles du 20e Rénover les écoles du 20e / Abris Vélo,Education et jeunesse
Rénover les écoles du 20e Rénover les écoles du 20e / EM Pali kao - Sanitaires,Education et jeunesse
Embellissons la galerie du Square Dunois Mur peint,Cadre de vie
Rénover les équipements sportifs des quartiers populaires Un mur interactif à Max Rousié,Sport
"Plus agréable et plus accessible, marchons la ville Rendons accessible à tous l'église St jacques St Christophe place de Bitche",Cadre de vie
"Plus agréable et plus accessible, marchons la ville Tronçon PC19 rue de Thioville - quai de la Marne",Cadre de vie
Améliorer le patrimoine associatif de Belleville Rénovons la salle Jean Aicard,Cadre de vie
De l'art urbain dans le 17e Fresque escaliers Colette Vivier,Culture et patrimoine
Protéger les piétons et réduire les nuisances sonores Ralentisseurs et revêtements phoniques - 02/plateau Dublin,Prévention et sécurité
"Diminuer les déchets, augmenter la récup’ Pimp Your Waste - financement R&D et aménagement de son atelier",Propreté
Favoriser le sport dans les jardins du 17e Favoriser le sport dans les jardins du 17e / sq. Ernest Gouin.,Cadre de vie
Installer des bancs publics supplémentaires dans le 17e arrondissement Installer des bancs publics supplémentaires dans le 17e arrondissement,Cadre de vie
Mise en valeur du parvis de l'église Saint-Joseph des Épinettes Mise en valeur du parvis de l'église Saint-Joseph des Épinettes,Culture et patrimoine
Élargir le trottoir rue Poncelet Élargir le trottoir rue Poncelet,Mobilités
Verdir la rue Saint-Denis Verdir la rue Saint-Denis,Cadre de vie
Des parcours sport et santé dans le 19e Aire de fitness sur le canal de l'Ourcq,Sport
Végétalisation de la place de la Fontaine Timbaud Végétalisation de la place de la Fontaine Timbaud,Environnement
Poser un tapis phonique et une végétalisation associative rue de Bagnolet Poser un tapis phonique et une végétalisation associative rue de Bagnolet,Cadre de vie
Création d'un espace vert partagé rue Louis Blanc Jardin d'Alice - Jardin partagé rue Louis Blanc,Cadre de vie
Jardin pédagogique et énergie positive à l’école Saint-Martin Jardin pédagogique école polyvalente Saint Martin,Environnement
Des mots et des fleurs Des mots et des fleurs,Environnement
Beaubourg backstage,Cadre de vie
Une promenade plantée pour le boulevard de Charonne Une promenade plantée pour le boulevard de Charonne,Environnement
Un lieu pour les jeunes par les jeunes ! Un lieu pour les jeunes par les jeunes !,Education et jeunesse
Pour que toutes les écoles du 18e aient des outils numériques innovants AMIRAUX (19) MAT,Education et jeunesse
Couverture des 3 courts de tennis du stade Max Rousié Couverture des 3 courts de tennis du stade Max Rousié,Sport
Des conditions d’études améliorées pour les élèves du 12e Agrandir les réféctoires des écoles PICPUS,Education et jeunesse
Un ponton Place Stalingrad Ponton,Cadre de vie
Des abris pour les personnes sans domicile fixe Un abri pour les personnes sans-domiciles,Solidarités
L'agora du faubourg: Ouverture d'une agora solidaire dans le quartier Saint Denis - Paradis Rénovation extérieure de la Chapelle Saint Lazare,Solidarités
Remettre du vert dans la rue du Chemin Vert Remettre du vert dans la rue du Chemin Vert,Environnement
+ de végétal dans les quartiers populaires Square Jean Aicard,Environnement
+ de végétal dans les quartiers populaires Jardin Henri et Achille Duchêne,Environnement
+ de végétal dans les quartiers populaires Jardin de l’Ilot Riquet,Environnement
+ de nature en ville + de nature en ville / 08-Application mobile pour  arrosage participatif,Environnement
Du vert à tous les étages Bureaux DJS - toit 1- 25 boulevard Bourdon 4e,Environnement
Cultiver en ville Jardin partagé  rue Gérard de Nerval,Environnement
Cultiver en ville Verger - Fruitiers square Pauly,Environnement
"Des kiosques pour faire la fête Jardin Villemin, Kiosque à musique",Cadre de vie
"Des kiosques pour faire la fête Jardinets du Bd Auguste Blanqui, Kiosque à musique, locaux jardiniers",Cadre de vie
Des jardins sur les murs Des jardins sur les murs / 75006 - mur végétalisé Rue Madame (angle Marie Cappe Carpentier),Environnement
Des jardins sur les murs Des jardins sur les murs / 75012 - mur végétalisé RUE DE LYON,Environnement
Des jardins sur les murs Des jardins sur les murs / 75020 - mur végétalisé RUE PELLEPORT,Environnement
Les œuvres d'art investissent la rue Panthère de Baudelocque,Culture et patrimoine
Les œuvres d'art investissent la rue Fresque,Culture et patrimoine
Les œuvres d'art investissent la rue Fresque Da Cruz,Culture et patrimoine
Les œuvres d'art investissent la rue Restauration oeuvre de Patrick Corillon,Culture et patrimoine
De l’art dans mon quartier : des rues hautes en couleur Oru Totem de Stoul,Culture et patrimoine
Améliorer la circulation des vélos et des piétons sur le Quai de Valmy et devant les crèches Améliorer la circulation des vélos et des piétons sur le Quai de Valmy et devant les crèches,Prévention et sécurité
Modernisation des lieux d'aisance des enfants du 5e Sanitaires école élémentaire SAINT JACQUES,Education et jeunesse
Raspail revit suite Raspail revit suite,Environnement
Construction d’une salle de boxe au centre sportif Suchet Construction d'une salle de boxe,Sport
Belle place à Vauvenargues/Leibniz Belle place à Vauvernagues/Leibniz,Cadre de vie
"Protéger la piste cyclable de la rue Louis Blanc, de la rue La Fayette à La Chapelle Protéger la piste cyclable de la rue Louis Blanc",Mobilités
Pour la création d’un lieu intergénérationnel Pour la création d’un lieu intergénérationnel,Solidarités
Le renouveau du square Léonor Fini Le renouveau du square Léonor Fini,Cadre de vie
Développer l'aide aux personnes en situation de précarité Conciergerie solidaire Lulu dans ma rue,Solidarités
Développer l'aide aux personnes en situation de précarité Rénovation des Bains-Douches Oberkampf,Solidarités
Des abris pour les personnes sans domicile fixe Financement du CHU Bastion de BERCY,Solidarités
#CoupsDeCulture Théâtre Paris Villette,Culture et patrimoine
De nouveaux équipements pour les centres d'animation Richet et Dunois Remplacement sols CPA Richet,Education et jeunesse
"En piste, encore plus d'aménagements cyclables En piste/porte des Ternes",Mobilités
Des rues plus accessibles autour de la Place des Fêtes Rue des Bois,Cadre de vie
Cultiver en ville Toit végétalisée mairie du 18eme,Environnement
+ de commerces dans les quartiers populaires Lauréat Coup de Pouce Commerce: OPTIQUE COURTELINE,Attractivité et emploi
Modernisation des lieux d'aisance des enfants du 5e Sanitaires école maternelle MOUFFETARD,Education et jeunesse
Des toilettes rénovées pour tous les élèves du 12e Sanitaires école élémentaire REUILLY A,Education et jeunesse
Des toilettes rénovées pour tous les élèves du 12e Sanitaires école maternelle PICPUS,Education et jeunesse
Rénover les toilettes dans les écoles Sanitaires école élémentaire PORTE D'IVRY,Education et jeunesse
Une meilleure isolation thermique pour nos enfants Isolation thermique école maternelle LEON MAURICE NORDMANN,Education et jeunesse
Des cantines plus agréables pour nos enfants dans 5 écoles du 13e Réfectoire école maternelle STEPHEN PICHON,Education et jeunesse
Des équipements innovants pour 10 écoles VPI école élémentaire DUPLEIX,Education et jeunesse
Des équipements innovants pour 10 écoles VPI école élémentaire OLIVIER DE SERRES,Education et jeunesse
Des équipements innovants pour 10 écoles VPI école maternelle GERBERT,Education et jeunesse
Aménagements dans les écoles du quartier Epinettes - Bessières VPI école élémentaire BESSIERES,Education et jeunesse
"Pour un arrondissement « treize accessible » aux personnes en situation de handicap, à mobilité réduite Pour un arrondissement « treize » accessible aux personnes handicapées,  à mobilité réduite",Mobilités
Alimentation : du gaspillage au partage Epicerie solidaire du Secours Populaire du 13e,Solidarités
Végétaliser les murs et les toits dans le 15e Végétaliser les murs et les toits dans le 15ème / 08 - végétalisation du mur aveugle donnant sur le square Bargue-Platon,Cadre de vie
Développer l'aide aux personnes en situation de précarité Amenagement Point Paris Emploi 13è ardt (MLP),Solidarités
Amélioration du matériel pour la pratique du sport dans le 5e Amélioration du matériel des CS du 5è_Gym. des Patriarches,Sport
Défibrillateurs dans les centres sportifs du 17e Gymn. Fragonard,Santé
Continuer l'amélioration de l'accessibilité pour tous dans le 13e Gymn. Caillaux,Cadre de vie
Sport urbain en liberté SWO Sq. Bartholomé,Sport
Tennis de table et babyfoot en accès libre Square Dampierre-Rouvet,Sport
Tennis de table et babyfoot en accès libre Bassin Villette,Sport
Des parcours sport et santé dans le 19e Aménagement rue d'Aubervilliers,Sport
Du matériel de nettoiement silencieux et non polluant Du matériel de nettoiement silencieux et non polluant Micro Aspiratrice de trottoir 024 1,Propreté
Du matériel de nettoiement silencieux et non polluant Du matériel de nettoiement silencieux et non polluant Tricycles électriques 026 1,Propreté
Des fontaines à boire dans tout Paris Des fontaines à boire dans tout Paris Fontaine Arceau 031,Cadre de vie
Aménagements dans les écoles du 17ème arrondissement (hors quartier populaire) Auvent groupe scolaire SAUSSURE,Education et jeunesse
Rue aux enfants - rue Prévost Paradol (14e),Cadre de vie
Trier ses déchets au plus près Composteur Régie de Quartier du 19ème,Propreté
Agir en faveur de la vitalité associative des quartiers populaires ! Danube Palace,Solidarités
Agir en faveur de la vitalité associative des quartiers populaires ! Régie de Quartier,Solidarités
"Du vert à tous les étages Ecole maternelle 42, rue du Docteur Netter 12e",Environnement
Agir en faveur de la vitalité associative des quartiers populaires ! MCV 156,Solidarités
+ de végétal dans les quartiers populaires Extension jardin Serge Gainsbourg,Environnement
Développer l'aide aux personnes en situation de précarité Table d'hôtes Tout Autre Chose,Solidarités
#TousRécup MYTROC - Développement application & Communauté,Solidarités
#TousRécup HOP! - Plateforme Web Produits durables et Sensibilisation Entrepreneurs,Solidarités
Rénover le gymnase Jemmapes Rénover le gymnase Jemmapes,Sport
Des agrès sportifs square Léopold Achille (Parc Royal) Des agrès sportifs square Léopold Achille (Parc Royal),Sport
Des hôtels à insectes dans les squares du 9e Des hôtels à insectes dans les squares du 9e,Environnement
La Vitrine de l'innovation La Vitrine de l'innovation,Attractivité et emploi
Plus d'espaces d'activités et de loisirs Plus d'espaces d'activités et de loisirs - Association Florimont,Education et jeunesse
Promenons nos seniors Promenons nos seniors,Solidarités
Restaurer le patrimoine archéologique du square Georges-Cain Restaurer le patrimoine archéologique du square Georges-Cain,Culture et patrimoine
Rénover les toilettes du square d'Anvers Rénover les toilettes du square d'Anvers,Propreté
Paris championne du climat Groupe scolaire Ivry Levassor,Environnement
Des arbres et des jardinières fleuries pour le 13e ! Des arbres  et des jardinières fleuries pour le 13ème/Arbres en pot rue de la Colonie,Cadre de vie
Activités sportives urbaines dans le 14e Activités sportives urbaines dans le 14e / Espaces verts,Sport
Rénover et rendre accessibles les équipements sportifs du 5e Gymnase Ortolan,Sport
"Aménagement de l'avenue Daumesnil, le long du Viaduc des Arts Aménagement du trottoir, du mobilier urbain et de l'éclairage",Cadre de vie
Cultiver dans les écoles Cultiver dans les écoles / Ecole 4/5,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 9/12,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 6/23,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 8/23,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 7/30,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 17/30,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 19/30,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 6/21,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 21/21,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 15/18,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement Embellir les cours des écoles du 18e arrondissement / Ecole 23,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement Embellir les cours des écoles du 18e arrondissement / Ecole 34,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement Embellir les cours des écoles du 18e arrondissement / Ecole 45,Education et jeunesse
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 32,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 56,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 83,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 85,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 92,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 93,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Batterie Souffleuses électriques 13,Propreté
Du matériel de nettoiement silencieux et non polluant Du matériel de nettoiement silencieux et non polluant débroussailleuses électriques 023 7,Propreté
Du matériel de nettoiement silencieux et non polluant Du matériel de nettoiement silencieux et non polluant Tricycles électriques 026 5,Propreté
Pour que toutes les écoles du 18e aient des outils numériques innovants CAVE (11) ELEM,Education et jeunesse
Pour que toutes les écoles du 18e aient des outils numériques innovants DEPARTEMENT (51) MAT,Education et jeunesse
Pour que toutes les écoles du 18e aient des outils numériques innovants EVANGILE (33) ELEM,Education et jeunesse
Pour que toutes les écoles du 18e aient des outils numériques innovants FRANCOISE DORLEAC (2) MAT,Education et jeunesse
Pour que toutes les écoles du 18e aient des outils numériques innovants GOUTTE D'OR (57) MAT,Education et jeunesse
Pour que toutes les écoles du 18e aient des outils numériques innovants POISSONNIERS (142) POLY,Education et jeunesse
Pour que toutes les écoles du 18e aient des outils numériques innovants VAUVENARGUES (4) MAT,Education et jeunesse
Isolation et confort thermiques renforcés pour les écoles Isolation et stores école élémentaire Charles Baudelaire,Education et jeunesse
Embellir les écoles Equipement de jeux de cour dans les cours d'école,Education et jeunesse
Ré-enchanter les cours de récré des écoles de nos quartiers Cours de récré- Ecole OURCQ,Cadre de vie
Art dans la ville Art dans la ville - fresques dans les écoles,Culture et patrimoine
#TousRécup Projet Consigne - Les Marmites Volantes,Solidarités
Equiper les écoles du 14ème en tableaux noirs numériques Equiper les écoles du 14ème-EP Sibelle,Education et jeunesse
Equiper les écoles du 14ème en tableaux noirs numériques Equiper les écoles du 14ème-EE Delambre,Education et jeunesse
Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
Des chaussées rénovées ! Des chaussées rénovées ! - Rue Marcel Duchamp,Cadre de vie
Une meilleure cohabitation piétons / automobilistes Pour une meilleure cohabitation piétons/automobilistes. Croisement Avenue Choisy / Rue Caillaux,Prévention et sécurité
+ de commerces dans les quartiers populaires ALIMENTATION BESSIERES,Attractivité et emploi
+ de commerces dans les quartiers populaires MOUSS COIFFURE,Attractivité et emploi
+ de commerces dans les quartiers populaires BAVIL H²O,Attractivité et emploi
#VillePlusPropre Cendriers sondage,Propreté
+ de nature en ville Cultiver dans la crèche Saint Mandé,Environnement
+ de nature en ville Cultiver dans la crèche Baptiste Renard,Environnement
+ de nature en ville Cultiver dans la crèche Rebuffat,Environnement
#AlimentationPourTous Epicerie sociale solidaire CHU Crimée,Solidarités
#AlimentationPourTous Ernest Circuit Court Solidarité,Solidarités
Cultiver en ville Jardin partagé des bords du canal de l’Ourcq,Environnement
Faire du sport en plein air dans les jardins du 11e F- SUIV 002042 - FAIRE DU SPORT AVEC DES AGRÈS DANS LES JARDINS DU 11E / 01 - jardin Damia,Sport
Des sanitaires neufs pour les écoles du 19 ème Des sanitaires neufs pour l'EE Romainville,Education et jeunesse
Un passage piéton aligné au trottoir - rue du Rocher Un passage piéton aligné au trottoir Rue du Rocher,Prévention et sécurité
La rénovation de la Fontaine du Fellah-Vaneau La rénovation de la Fontaine du Fellah-Vaneau,Cadre de vie
+ de nature en ville Mares et espaces de biodiversité / Création d’une haie bocagère dans le jardin des Poètes,Environnement
Rénovons les équipements sportifs et aquatiques du 12e Gymnase Bercy Bastille,Sport
Espaces de travail publics Complément Rénovation Laprade,Education et jeunesse
"Balade culturelle dans le 14e Hommage à ""A Bout de Souffle""",Culture et patrimoine
Une boîte à livres sur l'espace public Boîte à Livres Place des Fêtes,Culture et patrimoine
Installation de 2 fontaines Wallace place des Innocents Fontaine pétillante des innocents,Santé
Des espaces ludiques et sportifs dans les jardins du 19e Installer une borne électrique sécurisée dans le jardin Hérold,Cadre de vie
Espaces de travail publics Rénovation Mission Locale Est,Education et jeunesse
#SousLesPavésDesFleurs #SousLesPavésDesFleurs / Etude APUR des « carte des voies à végétaliser »,Environnement
De l’art dans mon quartier : des rues hautes en couleur Fresques sur la coulée verte,Culture et patrimoine
#SousLesPavésDesFleurs D- SUIV 002785 - #SousLesPavésDesFleurs / Du gazon sur les trottoirs / Débitumage rue Vigée-Lebrun à Paris 16eme,Environnement
Embellissons les écoles de nos quartiers Embellissons les écoles de nos quartiers-EE Cheminets,Education et jeunesse
Des cours embellies et équipées pour les élèves du 11e Ecole Saint-Sébastien,Education et jeunesse
Des tableaux interactifs pour des écoles de l'arrondissement Tableaux interactifs pour l'école élémentaire,Education et jeunesse
Renforcer le lien social entre les habitants du 13e Un cinéma solidaire à La Mie de Pain,Solidarités
#ÉcoleDeRêve Expérimentation qualité de l'air - Ecole Dorleac,Education et jeunesse
Plus d'équipements dans nos écoles Plus d'équipements dans nos écoles EM François Coppée,Education et jeunesse
Espaces ludiques dans les écoles du 16e Espaces Ludiques dans les écoles du 16e,Education et jeunesse
"Des ordinateurs pour les écoles du 12eme Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
"Des ordinateurs pour les écoles du 12eme Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
"Des ordinateurs pour les écoles du 12eme Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
Embellir les écoles Equipement de jeux de cour dans les cours d'école,Education et jeunesse
Le 13e innove pour toujours plus d'accessibilité Le 13e innove pour toujours plus d'accessibilité / Pieds d'arbre,Solidarités
+ de commerces dans les quartiers populaires LES INDEPENDANTS,Attractivité et emploi
Espaces ludiques dans les écoles du 16e Espaces Ludiques dans les écoles du 16e,Education et jeunesse
Rénovons les équipements sportifs et aquatiques du 12e TEP Léon Mottot aires extérieures,Sport
Aider les personnes les plus fragiles à sortir de l'exclusion Un espace d'accueil pour femmes hébergées en hôtel social,Solidarités
Rapprocher la culture des habitant·e·s Georges Brassens à l'honneur dans sa bibliothèque,Culture et patrimoine
Développer la pratique sportive dans le 19e Aire de street work out,Sport
"Favoriser l’économie sociale, solidaire et circulaire Tiers-lieu d'inclusion sociale et culturelle",Solidarités
"Pour toutes et tous, une alimentation collective et saine Intimité, autonomie, alimentation saine pour toutes et tous",Solidarités
Bien grandir dans le 11e Jardiner dans la cour - Collège Pilatre de Rozier,Education et jeunesse
Des rues apaisées Arceaux - cours de Vincennes vélos,Cadre de vie
Des espaces verts partagés dans les quartiers populaires Construction d’une serre collaborative et participative,Environnement
Développer la pratique sportive dans le 19e Escalade au CS Hautpoul,Sport
Réaménager des établissements culturels ouverts à la jeunesse La Maison du geste et de l'image de demain,Culture et patrimoine
