Titre de l'opération,Thématique
05-Réaménagement du Jardin Berthe Morisot,Environnement
Ecologie et solidarité : des lieux anti-gaspi dans tout Paris,Propreté
Soutien à l’équipement des plateaux techniques de l’école du réemploi et de la réparation - Fédération Envie,Attractivité et emploi
Crèche municipale Justice,Education et jeunesse
"Aménagement de l'Atelier des Familles : inclusion, sport, petite enfance",Solidarités
Aventure Kacila : offrir un espace de partage aux habitants,Solidarités
Cour Oasis à l'EE Ourcq (B),Education et jeunesse
Boîte n°4 - Des boîtes à livres pour le 10e arr.,Solidarités
Développer les assos vélos 2024,Mobilités
Complément de financement projet immo Ressourcerie du 10e,Solidarités
Travaux et aménagement local n°2 Ressource de Belleville,Solidarités
La Petite Rockette - Rénovation des espaces,Solidarités
Adapter les 32 crèches du 18e aux fortes chaleurs,Education et jeunesse
La Maison230 : ateliers intergénérationnels autour de l'économie circulaire !,Environnement
01 -  Transformer le jardin Damia en lieu de balade et de détente,Cadre de vie
Un environnement rafraîchi pour nos crèches et nos écoles,Education et jeunesse
Un studio numérique multifonctionnel,Cadre de vie
Végétaliser la façade de l’association d'accueil et d'accompagnement des usagers de drogues,Environnement
"01 - Rénover, revégétaliser et agrandir l’allée des chiens du parc Georges Brassens",Cadre de vie
CPA Jacques Bravo,Education et jeunesse
CPA Solidarité Angèle Mercier,Education et jeunesse
Pique nique et pétanque quai du lot,Education et jeunesse
03 - Rénovation des toilettes du Square Brassai,Environnement
Embellissons la fontaine de la Baleine Bleue,Cadre de vie
"Ciel de toit, rue du rendez-vous",Solidarités
Solidarité roquette fait sa transition écologique,Solidarités
Financement d'équipements pour l'association Extramuros,Solidarités
Le minibus associatif : un accès à la culture et aux loisirs,Education et jeunesse
10- La RENO !,Environnement
Jardin partagé Cambrai (Serre),Environnement
Les meubles circulaires - travaux d'installation dans le 19e,Propreté
Envie Paris - Implantation d'un atelier urbain dans le 20e,Propreté
Bis Boutique solidaire - Travaux d'une nouvelle boutique dans le 14e,Propreté
Un éco-point mobile square Villa Sainte-Croix,Propreté
Réfectoire école polyvalente PRIMO LEVI,Education et jeunesse
Une ruche sur le Champ de Mars,Environnement
Gradins au 104,Culture et patrimoine
Sécurisation traversées piétonnes Simon Bolivar,Mobilités
Convivialité avenue de Flandre,Cadre de vie
Rue de la solidarité,Education et jeunesse
Séquence n°2 (Avron - Ph. Auguste),Sport
Rénovation des sanitaires dans des établissements scolaires du 16e arrondissement,Education et jeunesse
Tables de tri école élémentaire BAUCHES,Environnement
Aménager le terre-plein central du boulevard Raspail entre la rue de Vaugirard et le boulevard du Montparnasse,Cadre de vie
Extension du square Berlioz,Cadre de vie
Liaison cyclable entre le boulevard de la Bastille et la rue Jules César,Mobilités
Création d'un parcours végétalisé de la Caserne de Reuilly au jardin de Reuilly,Environnement
Végétaliser le toit du gymnase du collège Pierre de Ronsard,Education et jeunesse
Installer une boîte à livres dans le 11e ( association du Quartier Saint-Bernard),Culture et patrimoine
Embellissement et apaisement des Rues Saint-Marc/Panoramas,Cadre de vie
Rénover la cour de récréation de l'école Sommerard,Education et jeunesse
"Restauration ""le nègre joyeux""",Culture et patrimoine
Une terrasse à lire - bibliothèque Sabatier,Culture et patrimoine
DE LA HALLE PAJOL A LA FRESQUE ROSA PARKS,Cadre de vie
"Poursuivre la végétalisation dans le 14e / 04-pose de jardinières rue de la Sablière, angle rue Saché",Environnement
Gymnase Rosa Parks,Sport
Végétaliser les boulevards Vaugirard et Pasteur,Cadre de vie
Col. Evariste Galois -toit 2 - 11 rue du Dr Bourneville 13e,Environnement
DuTEP et EM Philippe-Auguste - Alexandre Dumas -toit 2 - 68 avenue Philippe Auguste - 39 rue Alexandre Dumas 11e,Environnement
Toit végétalisé - Jean Dame 2eme ardt,Environnement
Achats de 1 800 chaises métalliques pliantes et 800 chiliennes en bois et tissus,Cadre de vie
Poursuivre la végétalisation dans le 14e / 01 - mur végétalisé 132 rue d'alésia,Environnement
Carrefour Valmy-Stalingrad-Lafayette,Cadre de vie
TEP Serurier,Sport
Faire revivre le Bassin Louis Blanc,Cadre de vie
Sécurisation du secteur Moines / Guy Môquet / Davy,Mobilités
Sanitaires école polyvalente BALANCHINE,Education et jeunesse
Rénover et agrandir l'Espace Jeunes de la rue Erard,Education et jeunesse
Grenier école élémentaire TOURNELLES,Education et jeunesse
Un auditorium à la médiathèque Yourcenar,Culture et patrimoine
Pour un meilleur passage de l'industrie !,Cadre de vie
améliorer l'espace du square Jules Verne,Cadre de vie
signalétique artistique porte de vanves,Cadre de vie
Piétonnisation de la rue Saint-Marc,Cadre de vie
Ecole primaire - 38 bd Reims 17e,Environnement
Ideas Box,Solidarités
"Rénovation de l'accueil de jour dans l'ESI ""Chez M. Vincent""",Solidarités
Fresque vallée de Fecamp / Coulée verte,Culture et patrimoine
Banc art qu'en ciel,Culture et patrimoine
Paris plus propre : + de toilettes et + de technologie au service de la propreté,Propreté
En piste/Quai d'Issy,Mobilités
Une nouvelle coulée verte av Daumesnil / Côté impair,Environnement
Pour des trottoirs plus larges : rue de la Grange-aux-Belles,Mobilités
Toit vegetalisé 9eme Ecole Rodier,Environnement
"Toit vegetalise 5eme Crèche contrescarpe, rue Lacépède",Environnement
A. Karr,Cadre de vie
+ de nature en ville / 4-Mares et espaces de biodiversité/42 - Rivières des Minimes,Environnement
Cour de récréation école élémentaire Renard,Education et jeunesse
Rénover circulation école maternelle DAUMESNIL,Education et jeunesse
Casiers Collège COURTELINE,Education et jeunesse
VPI école maternelle FELIX FAURE,Education et jeunesse
Table de tri école élémentaire PARC DES PRINCES,Environnement
Restaurant solidaire La Coop Mijotée (Restaurant La cantine de BabelVille,Solidarités
Les Eco-Charlie,Solidarités
Sécuriser les chemins des écoles du 12e,Prévention et sécurité
Sécuriser les chemins des écoles du 12e,Prévention et sécurité
Amenagement Point Paris Emploi 20è ardt (MLP),Solidarités
CPA Goscinny,Cadre de vie
Gymnase Pointe d'Ivry,Cadre de vie
Paris Stadium Charlemange,Sport
Paris Stadium CS Bagnolet,Sport
Colonnes à verre enterrée - rue de la Saïda (15e),Propreté
Des fontaines à boire dans tout Paris Fontaine Arceau 0392,Cadre de vie
Des fontaines à boire dans tout Paris Fontaine pétillante,Cadre de vie
Préau école élémentaire VICQ D'AZIR,Education et jeunesse
MCV Département,Solidarités
Table de Cana - Laboratoire traiteur antigaspi,Solidarités
#SousLesPavésDesFleurs / végétaliser les clôtures parisiennes - 75014 - Ecole Maurice d'Ocagne,Environnement
Un préau pour la cour de récréation de l'école Saint-Ange,Education et jeunesse
Un équipement sportif adapté aux handicaps,Sport
Pour un quartier Porte de Vincennes ludique et solidaire,Solidarités
Rénovation du Gymnase Cange,Sport
Un gymnase au collège de la Grange aux Belles,Education et jeunesse
Pose d'une barrière en bois protégeant le jardin du Ranelagh,Prévention et sécurité
"Moins de bruit, plus de qualité de vie à Château Rouge",Cadre de vie
Augmenter les capacités d'accueil pour l'activité Football,Sport
La cuisine de Rosa et ses milles saveurs,Solidarités
Création d'un espace lecture dans l'hôtel social rue de Joinville,Culture et patrimoine
Réaménagement des TEP Stalingrad,Sport
Faciliter les traversées piétonnes du Canal Saint-Martin,Prévention et sécurité
Renouveau au Parc Monceau ! / Nouvelles toilettes au Parc Monceau,Cadre de vie
De nouvelles toilettes publiques à Aligre et à Bercy / Aligre,Propreté
Extension du site d'Emmaüs Défi à Riquet,Attractivité et emploi
Subvention végétalisation houblon,Environnement
Embellissement d’un poumon vert du Quartier St-Bernard / transfert des tables de ping pong et baby foot esplanade renée lebas,Environnement
Plus de propreté dans l'espace public / Compacteurs Champs de Mars (dispositif anti-rats),Propreté
Cultiver dans les écoles / Ecole 5/5,Education et jeunesse
Cultiver dans les écoles / Ecole 2/9,Education et jeunesse
Cultiver dans les écoles / Ecole 7/9,Education et jeunesse
Cultiver dans les écoles / Ecole 1/3,Education et jeunesse
Cultiver dans les écoles / Ecole 6/18,Education et jeunesse
Cultiver dans les écoles / Ecole 4/17,Education et jeunesse
Cultiver dans les écoles / Ecole 4/12,Education et jeunesse
Cultiver dans les écoles / Ecole 18/23,Education et jeunesse
Cultiver dans les écoles / Ecole 10/11,Education et jeunesse
Cultiver dans les écoles / Ecole 9/20,Education et jeunesse
Cultiver dans les écoles / Ecole 9/30,Education et jeunesse
Cultiver dans les écoles / Ecole 22/30,Education et jeunesse
Cultiver dans les écoles / Ecole 25/30,Education et jeunesse
Cultiver dans les écoles / Ecole 13/21,Education et jeunesse
Cultiver dans les écoles / Ecole 3/18,Education et jeunesse
Reconquête urbaine / Fontaine au Roi,Cadre de vie
Embellir les cours des écoles du 18e arrondissement / Ecole 2,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 31,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 40,Education et jeunesse
Du matériel de nettoiement silencieux et non polluant Balayeuses Ramasseuses électriques 4,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 27,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 64,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 94,Propreté
Du matériel de nettoiement silencieux et non polluant débroussailleuses électriques 023 16,Propreté
HOUDON (15) ELEM,Education et jeunesse
MARCADET (29) MAT,Education et jeunesse
Conservatoire municipal du 18e arrondissement,Culture et patrimoine
RENOVATION PH - SECTEUR PLACE HENRI MATISSE  (20e),Attractivité et emploi
OPPELIA,Solidarités
ecole maternelle passage beslay,Education et jeunesse
Isolation élémentaire 5 rue Jean Bouton,Education et jeunesse
Isolation maternelle 7 rue jean bouton,Education et jeunesse
Toilettes groupe scolaire 3 rue de belzunce,Education et jeunesse
Serre agricole My Food sur le toit-terrasse de l’ENSAAMA,Attractivité et emploi
Ecole Maurice d'Ocagne,Education et jeunesse
Hall Couture,Solidarités
Aménagement Résidence de l'Eau MA10,Solidarités
Action 3 : installation de panneaux solaires bailleur social 13e,Environnement
Evaluation du dispositif,Environnement
Association La Corde Raide,Solidarités
Equiper les écoles du 14ème -EE 7 rue Asseline,Education et jeunesse
Equiper les écoles du 14ème-EM,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
Des tables de tri des déchets dans les cantines scolaires,Education et jeunesse
Des chausséees rénovées ! - Rue de l'Amiral Mouchez,Cadre de vie
Des chaussées rénovées ! - Boulevard Hippolyte Marquès,Cadre de vie
Projet OASIS école Boy Zelenski,Environnement
Projet OASIS Pilâtre de Rozier,Environnement
Projet OASIS Collgèe Germaine Tillon,Environnement
Projet OASIS école Vigée Lebrun,Environnement
MELTING POT,Attractivité et emploi
EL AMEN,Attractivité et emploi
Composteur Louis Blanc 10ème,Propreté
Cendriers sondage,Propreté
Pour des trottoirs plus larges et plus confortables,Mobilités
Projets 12 e,Solidarités
Cultiver dans la crèche Censier,Environnement
Cultiver dans la crèche Fleurus,Environnement
Cultiver dans le jardin d'enfant Général Humbert,Environnement
Cultiver dans la crèche Ouest,Environnement
Cultiver dans la crèche Préault,Environnement
Cultiver dans la crèche des Petites Ecuries,Environnement
Végétaliser le boulevard Voltaire - tronçon R. Lenoir République,Cadre de vie
Les Grains de Sel,Solidarités
SousLesPavésDesFleurs / Mares et espaces de biodiversité dans les QP / Jardin Villemin,Environnement
#SousLesPavésDesFleurs / Mares et espaces de biodiversité dans les QP / Square Colbert,Environnement
Une « matériauthèque » pour la construction écologique,Solidarités
Sauvegarde du grand orgue de Saint Eustache,Culture et patrimoine
Restauration de la statue de St Jean Baptiste,Culture et patrimoine
Rénovation du bassin et de la fontaine,Culture et patrimoine
Ouverture d'un café des enfants à la Goutte d'Or,Education et jeunesse
Végétaliser les pieds d'arbres,Environnement
"Rénovation, aménagement du centre social Solidarité Roquette",Solidarités
De nouvelles maisons de santé,Santé
Place aux piétons avenue du Maine !,Cadre de vie
Cultiver en ville / Jardin partagé -12eme - Toit tout vert / Achat composteurs verticaux,Environnement
Pots végétalisés aux croisements des rues Jeanne d'Arc et Clisson,Environnement
Matériel de nettoyage pour les locaux sportifs et les piscines,Sport
Rénovation des aires de jeux jardin Luc Hoffmann,Cadre de vie
Grand gymnase Caillaux,Sport
Végétaliser les murs et les toits dans le 15ème / 11-square Desaix,Cadre de vie
Agrès sportifs,Sport
Rénovation et fresque pour l'escalier du Centre Paris Anim' Mathis,Education et jeunesse
10Installer dans certains jardins du mobilier de jeux de société,Cadre de vie
Mettre en valeur la place Henri Frenay,Culture et patrimoine
Rénover le skate park des Fougères,Sport
Tables de tri dans les écoles,Propreté
Essaimage des repair café à Paris (7/10),Solidarités
Subvention régie de quartier du 12e,Solidarités
Jeux d'intérieurs adaptés aux enfants en situation de handicap,Solidarités
Des tableaux numériques/EE MOTTE PICQUET,Education et jeunesse
Le plaisir de lire dans l'EE 188 Alésia,Education et jeunesse
"Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
"Des ordis, pas des tablettes, pour les écoles du 12eme, _8 baudelaire",Education et jeunesse
Equipement de jeux de cour dans les cours d'école,Education et jeunesse
Embellissement de la Porte de Saint-Ouen,Cadre de vie
CENTRE CANIN,Attractivité et emploi
QUATRE HEURES,Attractivité et emploi
VOILES POUR PROTECTION SOLEIL ET PLUIE DANS LA COUR ECOLES,Education et jeunesse
"Insononorisation, embellissement réfectoires écoles EE 4 fils",Education et jeunesse
D- SUIV 002785 - #SousLesPavésDesFleurs / Du gazon sur les trottoirs  / Debitumage  4 rue Saint Nicolas,Environnement
"Des ordis, pas des tablettes, pour les écoles du 12eme",Education et jeunesse
Basket 3*3 TEP Calmette,Sport
aménagement coin lecture,Education et jeunesse
01 - Dynamiser le jardin partagé Fleur de Bitume (square Dalpayrat),Cadre de vie
TEP Archereau,Sport
EE rue de Florence - La rénovation du préau,Sport
Panneau - carrefour rue émile landrin,Cadre de vie
Réfections et pieds d'arbres,Cadre de vie
02 - Un jardin partagé accessible à tous les handicaps: Ombrelle et Coccinelle (square Marie-Poussepin),Cadre de vie
EM Jouffroy d'Abbans - Amélioration du cadre de vie,Education et jeunesse
La rue de la conversation,Solidarités
2Des vélos pour les jeunes de Blémont,Sport
EM Chaptal,Education et jeunesse
EM Buffault,Education et jeunesse
Des outils numériques dans les écoles primaires du 11 / EE 11B Parmentier,Education et jeunesse
Des outils numériques dans les écoles primaires du 11 / EE Saint Maur,Education et jeunesse
Escalade au gymnase Tandou,Sport
Végétalisons Paris Centre : Bibliothèque Arthur Rimbaud lieu de fraîcheur,Culture et patrimoine
Aménagement et équipement Pension de famille Julien Lacroix,Solidarités
Une ombrière pour le jardin de la résidence Madeleine Béjart,Solidarités
Rénovation du TEP Henri Sauvage,Sport
Camionnette douche mobile,Solidarités
Eglise St Germain l'Auxerrois,Solidarités
Ralentisseurs Rue Pierre Charon,Prévention et sécurité
Implanter des collecteurs de mégots dans le 10e,Environnement
TEP Pailleron,Sport
2/04/120Espace extérieur Chaumont Lepage,Sport
Sécurisation rue de Ponthieu,Cadre de vie
Restauration de la fontaine place Jacques Rueff,Culture et patrimoine
"Renouvellement du parc technique de ""3615 Radio""",Solidarités
"Rénovation de la cour de l’école Clignancourt en type ""Oasis""",Environnement
Plus de fontaines à boire dans le 19e,Environnement
Végétaliser les abords de l'école Froment,Environnement
Tablettes numériques,Solidarités
Des équipements pour les distributions d'Afood-Arc-en-ciel,Solidarités
Achat de matériel informatique pour activités d’accompagnement,Solidarités
Installer une ombrière à l'entrée du parc floral,Environnement
HAWA au féminin,Solidarités
Jardin’âges : l’écologie en actions intergénérationnelles,Solidarités
Restauration des peintures,Culture et patrimoine
Un espace de proximité dédié à la création artistique dans un parking de la Goutte d'Or,Culture et patrimoine
Du matériel à partager pour les associations du 14ème,Solidarités
Equiper les habitants du 18e pour les activités solidaires,Solidarités
01-Redonner un nouvel éclat à la roseraie du square René le Gall,Environnement
inancer des instruments de musique pour les élèves de Paris Centre,Education et jeunesse
"6Cours Oasis - EM 15, rue Chantin",Education et jeunesse
02-Faire rimer accès au numérique avec enjeux écologiques au sein de la Régie de quartier Fécamp,Environnement
07-Végétalisation de la place Alphonse Karr,Cadre de vie
Faciliter le don des parisien.n.es et insérer au mieux les plus éloigné.e.s de l'emploi,Solidarités
Boîte n°3 - Des boîtes à livres pour le 10e arr.,Solidarités
Du bleu dans les Yeux - Aménagement et équipement du second local de la Ressourcerie de Belleville,Solidarités
rideau de bulles sur la darse du Rouvray,Propreté
Transformation de la placette,Solidarités
ArtStock - Développement d'une matériauthèque et éco-boutique,Solidarités
L'égalité est dans l'assiette ! Du matériel pour les actions alimentaires d'IDL,Solidarités
UN ESPACE NATURE ENVIRONNEMENT POUR TOUS,Environnement
Installation d'une cuisine à la future maison sport santé,Santé
Restauration du portail de Saint-Séverin,Culture et patrimoine
02 – rénovation de la Fontaine place de la Garenne,Environnement
Oeuvres collaboratives,Culture et patrimoine
Financement d’une cuisine pour des ateliers nutrition au Centre de Développement Local Falguière,Santé
Rénovation du Pavillon de l’Ermitage,Culture et patrimoine
De nouveaux éclairage à Max Rousié,Sport
Restauration de la statue de Léon Serpollet,Culture et patrimoine
Multiplier les espaces verts en végétalisant des toits du quartier Buisson SaintLouis,Environnement
Plus de cours oasis et rafraichies / EE Larousse,Education et jeunesse
Antenne La Fayette,Education et jeunesse
Equiper toutes les écoles des quartiers prioritaires du 10e de Tableaux Numériques Interactifs (TNI)/EE Annette Zaidman,Education et jeunesse
Collège Mallarmé- végétalisation partie cour,Education et jeunesse
Un nouveau sol sportif à Pierre Rémond,Sport
Cuisine mobile partagée,Solidarités
"Aménager la Grande Coco : Pépinière de quartier, Cantine solidaire",Solidarités
Acquisition de trottinettes électriques pour l'association Clair et Net,Solidarités
Équipements pour l'accueil des habitants du quartier BellevilleFontaine au Roi/Régie de Quartier,Cadre de vie
Equipement d'un accueil de jour par l'association Aurore Itinérance,Solidarités
Auvent école maternelle RENAUDES,Education et jeunesse
Un boulodrome dans le 17e,Sport
Fresque Bidault,Cadre de vie
Un arbre de la laïcité,Solidarités
Une place d'Alexandrie plus agréable,Cadre de vie
Un kiosque à musique parc des Buttes-Chaumont,Culture et patrimoine
Création d'un jardin pédagogique dans la cour de l'école maternelle Buffon,Education et jeunesse
Fresque école rue de Tourtille,Culture et patrimoine
Du matériel de nettoiement silencieux et non polluant/Balayeuses Ramasseuses électriques 1,Propreté
Rénover la gare de Reuilly,Solidarités
Outils numériques école élémentaire BLANCHE,Education et jeunesse
Végétalisation du tronçon Navier - Jonquière de la Rue des Epinettes,Cadre de vie
équipons nous pour continuer à animer nos quartiers,Cadre de vie
Salle de travail pour étudiants à la bibliothèque Faidherbe,Education et jeunesse
Création d’un composteur de biodéchets,Environnement
La Grange-aux-Belles se met au vert !,Cadre de vie
Réhabilitation de la Ferme Montsouris,Culture et patrimoine
VPI 51 PORTE D'IVRY,Education et jeunesse
Cour de récréation école élémentaire BARBANEGRE B,Education et jeunesse
Square Jules Verne,Environnement
"Halte garderie municipale - 21, rue des Petites Ecuries 10e",Environnement
Square du Cardinal Petit de Julleville -boulevard d'Aurelle-de-Paladines 17e,Environnement
"Groupe scolaire Jean Perrin -toit 1 - 2-4-6, rue Eugène Reisz 20e",Environnement
"Square Armand Trousseau, Kiosque à musique",Cadre de vie
"Square Séverine, Théatre de Plein Air",Cadre de vie
Des jardins sur les murs / 75018 - mur végétalisé 7 rue Ferdinand Flocon,Environnement
Cultiver en ville / Toit végétalisé - 17eme - Ecole Polyvalente Boursault,Environnement
Toit végétalisé - 12eme - crèche Daumesnil,Environnement
Végétaliser les murs et les toits dans le 15ème / 05 - collège de Stael,Cadre de vie
La rue Marcadet,Cadre de vie
Rénovation durable de la rue Louis Lumière,Cadre de vie
Amphithéâtre au jardin des amandiers,Culture et patrimoine
Réfection des trottoirs du 6e arrondissement,Prévention et sécurité
Un salon de jardin à la bibliothèque Tillion,Culture et patrimoine
Coulée verte Bichat - Porte de Clignancourt - Poissonniers (Rues René Binet et Francis de Croisset),Cadre de vie
Sécuriser nos pieds d'arbres,Cadre de vie
Une rue-jardin Richomme,Cadre de vie
Réaménager les espaces sportifs des jardins du 20e / square Léon Frapié,Sport
"Les plateaux sauvages, 110 rue des amandiers 20e",Environnement
Appel à Projet Anti-Gaspi,Solidarités
Fournitures de Kits d'Hygiène,Solidarités
Aire de jeux pour les petits au square de l'oiseau Lunaire,Cadre de vie
En piste / Porte de la Villette,Mobilités
Cultiver en ville / Subvention Elogie 19eme Mathis,Environnement
Outils numériques école élémentaire MILTON-5,Education et jeunesse
Outils numériques école élémentaire CLICHY,Education et jeunesse
Lauréat Coup de Pouce Commerce: FADEL COUTURE,Attractivité et emploi
Réfectoire école maternelle DAUMESNIL,Education et jeunesse
VPI école élémentaire CARDINAL AMETTE,Education et jeunesse
VPI école élémentaire 17 VIGEE LEBRUN,Education et jeunesse
Les cookies antigaspi d'Expliceat,Solidarités
Sécuriser les chemins des écoles du 12e,Prévention et sécurité
Sécuriser les chemins des écoles du 12e,Prévention et sécurité
Coworking Innovation Factory,Attractivité et emploi
CS Courcelles,Santé
"SWO, fitness et parkour Parc de Bercy",Sport
SWO et fitness Sq. Dunand,Sport
SWO CS Pailleron,Sport
Fitness Jardin de la Pali-Kao,Sport
Colonnes à verre enterrée - Angle Magenta et Faubourg Poissonnière (9e),Propreté
Des fontaines à boire dans tout Paris Fontaine Arceau 036,Cadre de vie
Des fontaines à boire dans tout Paris Fontaine Arceau 0391,Cadre de vie
Des fontaines à boire dans tout Paris Fontaine Pétillante,Cadre de vie
Des fontaines à boire dans tout Paris Fontaine Pétillante,Cadre de vie
Conservatoire municipal du 11e arrondissement,Culture et patrimoine
Du vert pour le 13e /1-Végétaliser le boulevard Auguste Blanqui,Environnement
Rue aux enfants - Rue des Prouvaires (1er),Cadre de vie
Rue aux enfants - Interne Loeb,Cadre de vie
Belleville citoyenne,Solidarités
"Ecole maternelle Bois, 2 rue du Bois",Environnement
La reconquête de la Petite Ceinture / Aménagement PC12,Cadre de vie
Rénovation du Centre de distribution alimentaire alimentaire Restaurants du coeur La Villette,Solidarités
+ de nature en ville / Ruchers; appel à projets / Square du Serment de Koufra,Environnement
+ de nature en ville / Ruchers; appel à projets / Square Dode de la Brunerie,Environnement
Rénover le solarium de la piscine Bernard Lafay,Sport
Un jardin sur les toits du stade Elisabeth,Environnement
Un coup de neuf pour le théâtre de marionnettes,Culture et patrimoine
Salle Amyot,Sport
Rénover le gymnase sportif Rigoulot,Sport
Des aménagements pour le centre d'hébergement Crimée,Solidarités
Cabanes à livres dans le 14e,Culture et patrimoine
Remise en état de l'aire de jeux du parc Suzanne Lenglen,Sport
Isolation phonique de la cantine école lacordaire,Education et jeunesse
Cours de récré Ecoles Emelie/Jomard,Cadre de vie
De nouveaux équipements dans les squares et jardins du 12e / jardin Ilan Halimi,Cadre de vie
PC19 Rosa Parks Flandres,Cadre de vie
Pour une gestion de l'eau améliorée ! / Expérimentation flaque climatique (site Blanchard ),Environnement
Enrichir le fond de livres dans les bibliothèques et écoles du 19e,Culture et patrimoine
Rénover et équiper l'école du Ping,Sport
Création d’une aire à ballons sur le square Variot,Sport
Cultiver dans les écoles / Ecole 1/9,Education et jeunesse
Cultiver dans les écoles / Ecole 6/6,Education et jeunesse
Cultiver dans les écoles / Ecole 12/18,Education et jeunesse
Cultiver dans les écoles / Ecole 13/18,Education et jeunesse
Cultiver dans les écoles / Ecole 7/12,Education et jeunesse
Cultiver dans les écoles / Ecole 5/23,Education et jeunesse
Cultiver dans les écoles / Ecole 11/23,Education et jeunesse
Cultiver dans les écoles / Ecole 17/23,Education et jeunesse
Cultiver dans les écoles / Ecole 11/11,Education et jeunesse
Cultiver dans les écoles / Ecole 2/20,Education et jeunesse
Cultiver dans les écoles / Ecole 16/20,Education et jeunesse
Cultiver dans les écoles / Ecole 1/21,Education et jeunesse
Cultiver dans les écoles / Ecole 11/21,Education et jeunesse
Cultiver dans les écoles / Ecole 12/21,Education et jeunesse
Cultiver dans les écoles / Ecole 7/18,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 7,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 10,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 12,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 20,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 21,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 26,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 36,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement / Ecole 43,Education et jeunesse
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 19,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 25,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 39,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 53,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 95,Propreté
Du matériel de nettoiement silencieux et non polluant débroussailleuses électriques 023 6,Propreté
JEAN-BAPTISTE CLEMENT (4) MAT,Education et jeunesse
JOSEPH DE MAISTRE (29) ELEM,Education et jeunesse
Collège Geroges Braque,Education et jeunesse
Conservatoire municipal du 15e arrondissement,Culture et patrimoine
RENOVATION PH – SECTEUR PORTE DE VANVES (14e),Attractivité et emploi
Fontaine Arceau,Cadre de vie
Fresque Crèche de l'Ouest,Education et jeunesse
Paris plus propre : + de toilettes et + de technologie au service de la propreté / rénovation des WC publics du square Sarah Bernhardt,Propreté
groupe scolaire godefroy cavaignac,Education et jeunesse
Inclusion Numérique Goutte d'or,Culture et patrimoine
Ecole élémentaire Epinettes,Education et jeunesse
Ecole élémentaire Tanger (école B),Education et jeunesse
Ecole élémentaire Riblette,Education et jeunesse
Collège L et R Aubrac,Education et jeunesse
Collège Georges Rouault,Education et jeunesse
Ecole 41 rue de Tanger (école A),Education et jeunesse
Action 4 : co-propriétés privées,Environnement
"Des jardins sur les murs / Fleurissement coquelicot (trocadéro, fontaines hotel de ville et autres sites)",Environnement
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Equiper les écoles du 14ème-EE Jean Zay,Education et jeunesse
Equiper les écoles du 14ème-EM 55 Sarrette,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs EE,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs B,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
LA PHARMACIE VAUCOULEURS,Attractivité et emploi
TREIZIEME SENS,Attractivité et emploi
Projet OASIS école Dautancourt,Environnement
Cendriers sondage,Propreté
Fontaine du Guignier,Cadre de vie
Cultiver dans la crèche Port Royal 4,Environnement
Cultiver dans la crèche Poliveau,Environnement
Cultiver dans la crèche Lobineau,Environnement
Cultiver dans la crèche Grenelle,Environnement
Cultiver dans la crèche Saint Honoré,Environnement
Cultiver dans la crèche Duranti,Environnement
Cultiver dans la crèche Claude Levi Strauss,Environnement
Cultiver dans la crèche Square Dunois,Environnement
Cultiver dans la halte garderie Gustave Geoffroy,Environnement
Cultiver dans le jardin d'enfant Ambroise Rendu,Environnement
Cultiver dans la crèche Gravelle,Environnement
"Installation du Couple de lutteurs corps à corps, d’Ousmane Sow",Culture et patrimoine
Solidarité Roquette,Solidarités
Café associatif Pernety,Solidarités
